diag,C,size,level,run,layer,mode
0.2443848043848044,10.0,32,1,0,codebook,trained
0.13508221508221507,10.0,32,1,0,codebook,random
0.24555408555408556,10.0,32,1,1,codebook,trained
0.13861273861273862,10.0,32,1,1,codebook,random
0.23969003969003969,10.0,32,1,2,codebook,trained
0.1482996282996283,10.0,32,1,2,codebook,random
0.1913059913059913,10.0,32,2,0,codebook,trained
0.11721791721791722,1.0,32,2,0,codebook,random
0.18082530082530082,10.0,32,2,1,codebook,trained
0.12532728532728532,10.0,32,2,1,codebook,random
0.18447174447174447,10.0,32,2,2,codebook,trained
0.12708120708120707,0.1,32,2,2,codebook,random
0.10403578403578403,10.0,32,3,0,codebook,trained
0.11463491463491464,0.1,32,3,0,codebook,random
0.10765702765702766,10.0,32,3,1,codebook,trained
0.12176652176652177,10.0,32,3,1,codebook,random
0.10730170730170731,10.0,32,3,2,codebook,trained
0.11327159327159327,1.0,32,3,2,codebook,random
0.26698418698418697,10.0,64,1,0,codebook,trained
0.1461122661122661,10.0,64,1,0,codebook,random
0.2723215523215523,10.0,64,1,1,codebook,trained
0.14624582624582624,0.001,64,1,1,codebook,random
0.2694613494613495,0.001,64,1,2,codebook,trained
0.14132930132930133,0.01,64,1,2,codebook,random
0.23813267813267813,0.001,64,2,0,codebook,trained
0.13996597996597995,10.0,64,2,0,codebook,random
0.23688779688779688,10.0,64,2,1,codebook,trained
0.13051849051849052,0.1,64,2,1,codebook,random
0.22875070875070874,10.0,64,2,2,codebook,trained
0.12981288981288983,0.001,64,2,2,codebook,random
0.12166824166824167,10.0,64,3,0,codebook,trained
0.1273861273861274,0.001,64,3,0,codebook,random
0.11713223713223714,10.0,64,3,1,codebook,trained
0.11353871353871355,0.01,64,3,1,codebook,random
0.1222024822024822,10.0,64,3,2,codebook,trained
0.12752724752724753,10.0,64,3,2,codebook,random
0.30376362376362376,0.01,128,1,0,codebook,trained
0.1587072387072387,0.01,128,1,0,codebook,random
0.29425313425313426,10.0,128,1,1,codebook,trained
0.16085176085176084,0.001,128,1,1,codebook,random
0.293970893970894,0.001,128,1,2,codebook,trained
0.15150759150759152,1.0,128,1,2,codebook,random
0.28292320292320294,0.001,128,2,0,codebook,trained
0.141997101997102,0.001,128,2,0,codebook,random
0.2804258804258804,0.001,128,2,1,codebook,trained
0.14075222075222074,10.0,128,2,1,codebook,random
0.2706911106911107,0.001,128,2,2,codebook,trained
0.14184338184338185,10.0,128,2,2,codebook,random
0.14375606375606376,10.0,128,3,0,codebook,trained
0.13955269955269956,10.0,128,3,0,codebook,random
0.1582863982863983,0.001,128,3,1,codebook,trained
0.13340893340893342,0.01,128,3,1,codebook,random
0.15004095004095003,10.0,128,3,2,codebook,trained
0.13931077931077931,0.001,128,3,2,codebook,random
0.32814968814968815,10.0,256,1,0,codebook,trained
0.16205632205632206,0.01,256,1,0,codebook,random
0.32965916965916964,10.0,256,1,1,codebook,trained
0.1663982863982864,0.001,256,1,1,codebook,random
0.326975366975367,0.001,256,1,2,codebook,trained
0.16452340452340453,10.0,256,1,2,codebook,random
0.32456624456624455,0.001,256,2,0,codebook,trained
0.1576841176841177,10.0,256,2,0,codebook,random
0.3214061614061614,10.0,256,2,1,codebook,trained
0.1540956340956341,1.0,256,2,1,codebook,random
0.3267082467082467,10.0,256,2,2,codebook,trained
0.15345555345555345,10.0,256,2,2,codebook,random
0.19975807975807977,1.0,256,3,0,codebook,trained
0.15072135072135073,0.001,256,3,0,codebook,random
0.17950733950733952,10.0,256,3,1,codebook,trained
0.14627354627354627,0.01,256,3,1,codebook,random
0.16711900711900712,1.0,256,3,2,codebook,trained
0.1453890253890254,0.001,256,3,2,codebook,random
0.35502803502803504,0.001,512,1,0,codebook,trained
0.17703773703773704,10.0,512,1,0,codebook,random
0.35477351477351476,10.0,512,1,1,codebook,trained
0.16830340830340831,10.0,512,1,1,codebook,random
0.35615951615951613,0.001,512,1,2,codebook,trained
0.17524853524853526,10.0,512,1,2,codebook,random
0.3679027279027279,0.1,512,2,0,codebook,trained
0.1652743652743653,0.1,512,2,0,codebook,random
0.3701883701883702,0.001,512,2,1,codebook,trained
0.16726516726516727,0.001,512,2,1,codebook,random
0.36446292446292444,0.001,512,2,2,codebook,trained
0.1587072387072387,0.001,512,2,2,codebook,random
0.21052857052857052,1.0,512,3,0,codebook,trained
0.1542065142065142,10.0,512,3,0,codebook,random
0.22427518427518428,0.001,512,3,1,codebook,trained
0.1554891954891955,10.0,512,3,1,codebook,random
0.22413154413154412,10.0,512,3,2,codebook,trained
0.15393435393435392,0.001,512,3,2,codebook,random
0.37657657657657656,0.001,1024,1,0,codebook,trained
0.18797202797202797,0.001,1024,1,0,codebook,random
0.37573993573993575,0.01,1024,1,1,codebook,trained
0.18464058464058464,10.0,1024,1,1,codebook,random
0.37663705663705666,0.001,1024,1,2,codebook,trained
0.18567882567882568,10.0,1024,1,2,codebook,random
0.3739129339129339,0.01,1024,2,0,codebook,trained
0.17832797832797834,10.0,1024,2,0,codebook,random
0.3874050274050274,10.0,1024,2,1,codebook,trained
0.16595476595476596,0.001,1024,2,1,codebook,random
0.38166950166950164,0.001,1024,2,2,codebook,trained
0.17322749322749323,0.001,1024,2,2,codebook,random
0.21137277137277138,0.001,1024,3,0,codebook,trained
0.16047376047376047,0.1,1024,3,0,codebook,random
0.24295848295848296,10.0,1024,3,1,codebook,trained
0.16554400554400556,10.0,1024,3,1,codebook,random
0.22627102627102627,10.0,1024,3,2,codebook,trained
0.1573943173943174,0.001,1024,3,2,codebook,random
