diag,C,size,level,run,layer,mode,reference
0.16077112077112077,10.0,32,1,0,codebook,trained,phoneme
0.04703178947125322,0.1,32,1,0,codebook,trained,word
0.08073332073332073,10.0,32,1,0,codebook,random,phoneme
0.03183566009630374,10.0,32,1,0,codebook,random,word
0.2386921186921187,10.0,32,1,1,codebook,trained,phoneme
0.06017828893430792,10.0,32,1,1,codebook,trained,word
0.09285957285957286,10.0,32,1,1,codebook,random,phoneme
0.036607544947517924,10.0,32,1,1,codebook,random,word
0.17476721476721477,10.0,32,1,2,codebook,trained,phoneme
0.046338956824978926,10.0,32,1,2,codebook,trained,word
0.08077364077364077,10.0,32,1,2,codebook,random,phoneme
0.031728848396669784,10.0,32,1,2,codebook,random,word
0.24381276381276382,10.0,64,1,0,codebook,trained,phoneme
0.064193831480006,10.0,64,1,0,codebook,trained,word
0.08060984060984061,10.0,64,1,0,codebook,random,phoneme
0.03157296105125807,10.0,64,1,0,codebook,random,word
0.1801877401877402,0.001,64,1,1,codebook,trained,phoneme
0.05532268680500225,0.01,64,1,1,codebook,trained,word
0.08063252063252063,10.0,64,1,1,codebook,random,phoneme
0.03124097874158497,10.0,64,1,1,codebook,random,word
0.23635355635355634,10.0,64,1,2,codebook,trained,phoneme
0.06262918442050323,0.001,64,1,2,codebook,trained,word
0.08091224091224092,10.0,64,1,2,codebook,random,phoneme
0.03165956513204236,10.0,64,1,2,codebook,random,word
0.19498519498519498,10.0,128,1,0,codebook,trained,phoneme
0.058215263103197426,1.0,128,1,0,codebook,trained,word
0.08076104076104076,10.0,128,1,0,codebook,random,phoneme
0.03160760268357178,10.0,128,1,0,codebook,random,word
0.1690921690921691,10.0,128,1,1,codebook,trained,phoneme
0.05223380792369603,0.1,128,1,1,codebook,trained,word
0.08047124047124048,10.0,128,1,1,codebook,random,phoneme
0.03136222445468297,10.0,128,1,1,codebook,random,word
0.264010584010584,10.0,128,1,2,codebook,trained,phoneme
0.06937564231359915,0.001,128,1,2,codebook,trained,word
0.08357336357336358,10.0,128,1,2,codebook,random,phoneme
0.03297883396265632,1.0,128,1,2,codebook,random,word
0.28016128016128017,0.001,256,1,0,codebook,trained,phoneme
0.07163600882206902,0.01,256,1,0,codebook,trained,word
0.08052668052668052,10.0,256,1,0,codebook,random,phoneme
0.031220771122735302,1.0,256,1,0,codebook,random,word
0.21893781893781894,0.001,256,1,1,codebook,trained,phoneme
0.05971351370076558,10.0,256,1,1,codebook,trained,word
0.08098532098532099,10.0,256,1,1,codebook,random,phoneme
0.03261221002066951,0.01,256,1,1,codebook,random,word
0.1876192276192276,0.01,256,1,2,codebook,trained,phoneme
0.05739829794113232,0.1,256,1,2,codebook,trained,word
0.08122724122724123,10.0,256,1,2,codebook,random,phoneme
0.03202041546864355,10.0,256,1,2,codebook,random,word
0.2854381654381654,1.0,512,1,0,codebook,trained,phoneme
0.07504820960496993,0.01,512,1,0,codebook,trained,word
0.08016632016632017,0.01,512,1,0,codebook,random,phoneme
0.031194789898500018,1.0,512,1,0,codebook,random,word
0.29574497574497577,0.001,512,1,1,codebook,trained,phoneme
0.07636170483019826,0.1,512,1,1,codebook,trained,word
0.08258804258804259,10.0,512,1,1,codebook,random,phoneme
0.03265839886375446,10.0,512,1,1,codebook,random,word
0.21004473004473004,10.0,512,1,2,codebook,trained,phoneme
0.057834205147746565,0.001,512,1,2,codebook,trained,word
0.08134316134316134,10.0,512,1,2,codebook,random,phoneme
0.03237260539716631,10.0,512,1,2,codebook,random,word
0.17236817236817237,1.0,1024,1,0,codebook,trained,phoneme
0.05289199893765661,0.001,1024,1,0,codebook,trained,word
0.08104832104832105,10.0,1024,1,0,codebook,random,phoneme
0.03124097874158497,10.0,1024,1,0,codebook,random,word
0.23563283563283563,0.1,1024,1,1,codebook,trained,phoneme
0.06454024780314314,0.001,1024,1,1,codebook,trained,word
0.08076104076104076,10.0,1024,1,1,codebook,random,phoneme
0.03189628295285274,10.0,1024,1,1,codebook,random,word
0.17401877401877403,10.0,1024,1,2,codebook,trained,phoneme
0.050195725222572485,0.001,1024,1,2,codebook,trained,word
0.08014616014616015,10.0,1024,1,2,codebook,random,phoneme
0.03097539289384649,10.0,1024,1,2,codebook,random,word
